"Symbol","Description","GICS sector","Category1","Category2","Category3","Market Cap","Average Volume","Actions"
"ROL","Rollins Inc","Industrials","US Equity","Common stocks","Large cap","$17,822,559,233","1,547,863","Analyze"
"SCI","Service Corporation International","Consumer Discretionary","US Equity","Common stocks","Mid cap","$9,971,127,691","960,414","Analyze"
"HRB","H&R Block Inc","Consumer Discretionary","US Equity","Common stocks","Mid cap","$5,061,690,438","1,746,235","Analyze"
"TMX","Terminix Global Holdings, Inc.","Consumer Discretionary","US Equity","Common stocks","Mid cap","$4,605,245,578","28,522,376","Analyze"
"BFAM","Bright Horizons Family Solutions","Consumer Discretionary","US Equity","Common stocks","Mid cap","$4,415,546,819","479,122","Analyze"
"DSEY","Diversey Holdings, Ltd.","Materials","US Equity","Common stocks","Mid cap","$2,609,595,985","3,901,836","Analyze"
"MCW","Mister Car Wash, Inc.","Consumer Discretionary","US Equity","Common stocks","Mid cap","$2,522,898,567","1,311,467","Analyze"
"FTDR","Frontdoor Inc","Consumer Discretionary","US Equity","Common stocks","Mid cap","$2,133,925,936","1,805,233","Analyze"
"MED","Medifast Inc","Consumer Staples","US Equity","Common stocks","Small cap","$1,059,215,913","204,969","Analyze"
"FRG","Franchise Group, Inc.","Consumer Discretionary","US Equity","Common stocks","Small cap","$914,007,479","632,019","Analyze"
"ROVR","Rover Group, Inc. - Class A","Consumer Discretionary","US Equity","Common stocks","Small cap","$791,994,552","521,549","Analyze"
"CSV","Carriage Services Inc","Consumer Discretionary","US Equity","Common stocks","Small cap","$455,801,970","98,951","Analyze"
"STON","StoneMor Partners LP","Consumer Discretionary","US Equity","MLPs","Small cap","$419,197,822","20,246,998","Analyze"
"WW","Weight Watchers International Inc","Consumer Discretionary","US Equity","Common stocks","Small cap","$300,017,993","13,218,210","Analyze"
"EM","Smart Share Global Limited ADRs","Consumer Discretionary","US Equity","ADRs","Micro cap","$274,003,398","67,182","Analyze"
"XSPA","Xpresspa Group Inc","Consumer Discretionary","US Equity","Common stocks","Micro cap","$61,752,167","171,704","Analyze"
"RGS","Regis Corp","Consumer Discretionary","US Equity","Common stocks","Micro cap","$46,475,966","769,110","Analyze"
"MRM","MEDIROM Healthcare Technologies Inc. ADRs","Consumer Discretionary","US Equity","ADRs","Micro cap","$29,295,006","7,910","Analyze"
