"Symbol","Description","GICS sector","Category1","Category2","Category3","Market Cap","Average Volume","Actions"
"PGR","Progressive Corp","Financials","US Equity","Common stocks","Large cap","$80,677,417,162","3,030,783","Analyze"
"CB","Chubb Ltd","Financials","US Equity","Common stocks","Large cap","$76,916,309,839","2,173,855","Analyze"
"TRV","Travelers Companies Inc","Financials","US Equity","Common stocks","Large cap","$38,030,967,246","1,880,778","Analyze"
"ALL","Allstate Corp","Financials","US Equity","Common stocks","Large cap","$27,802,349,726","2,458,096","Analyze"
"CINF","Cincinnati Financial Corp","Financials","US Equity","Common stocks","Large cap","$16,657,562,079","2,105,470","Analyze"
"MKL","Markel Corp","Financials","US Equity","Common stocks","Large cap","$16,318,948,801","49,716","Analyze"
"WRB","WR Berkley Corp","Financials","US Equity","Common stocks","Large cap","$15,798,875,870","2,004,605","Analyze"
"L","Loews Corp","Financials","US Equity","Common stocks","Large cap","$12,638,174,854","1,138,742","Analyze"
"Y","Alleghany Corp","Financials","US Equity","Common stocks","Large cap","$11,407,399,347","634,034","Analyze"
"CNA","CNA Financial Corp","Financials","US Equity","Common stocks","Mid cap","$9,962,464,899","252,234","Analyze"
"AFG","American Financial Group Inc","Financials","US Equity","Common stocks","Mid cap","$9,911,330,541","445,589","Analyze"
"KNSL","Kinsale Capital Group Inc","Financials","US Equity","Common stocks","Mid cap","$6,590,026,339","171,698","Analyze"
"RLI","RLI Corp","Financials","US Equity","Common stocks","Mid cap","$5,853,580,362","264,956","Analyze"
"SIGI","Selective Insurance Group Inc","Financials","US Equity","Common stocks","Mid cap","$5,533,070,803","352,454","Analyze"
"AXS","Axis Capital Holdings Ltd","Financials","US Equity","Common stocks","Mid cap","$4,410,037,064","670,381","Analyze"
"THG","Hanover Insurance Group Inc","Financials","US Equity","Common stocks","Mid cap","$4,332,765,392","183,408","Analyze"
"WTM","White Mountains Insurance Group Ltd","Financials","US Equity","Common stocks","Mid cap","$3,414,836,585","13,398","Analyze"
"KMPR","Kemper Corp","Financials","US Equity","Common stocks","Mid cap","$3,350,430,287","456,015","Analyze"
"NMIH","NMI Holdings Inc","Financials","US Equity","Common stocks","Small cap","$1,758,452,756","627,223","Analyze"
"MCY","Mercury General Corp","Financials","US Equity","Common stocks","Small cap","$1,637,877,937","390,372","Analyze"
"PLMR","Palomar Holdings, Inc.","Financials","US Equity","Common stocks","Small cap","$1,325,871,214","179,764","Analyze"
"HMN","Horace Mann Educators Corp","Financials","US Equity","Common stocks","Small cap","$1,321,046,444","281,366","Analyze"
"SAFT","Safety Insurance Group Inc","Financials","US Equity","Common stocks","Small cap","$1,057,491,009","156,753","Analyze"
"STC","Stewart Info Services Corp","Financials","US Equity","Common stocks","Small cap","$1,029,000,413","353,160","Analyze"
"ARGO","Argo Group International Holdings","Financials","US Equity","Common stocks","Small cap","$1,014,195,387","882,514","Analyze"
"PRA","Proassurance Corp","Financials","US Equity","Common stocks","Small cap","$944,912,599","378,465","Analyze"
"LMND","Lemonade, Inc.","Financials","US Equity","Common stocks","Small cap","$882,900,218","1,118,066","Analyze"
"HGTY","Hagerty, Inc. Class A","Financials","US Equity","Common stocks","Small cap","$696,481,050","104,154","Analyze"
"UFCS","United Fire Group Inc","Financials","US Equity","Common stocks","Small cap","$646,041,504","109,473","Analyze"
"UVE","Universal Insurance Holdings Inc","Financials","US Equity","Common stocks","Small cap","$562,370,387","369,658","Analyze"
"DGICA","Donegal Group Inc Class A","Financials","US Equity","Common stocks","Small cap","$472,602,052","86,280","Analyze"
"DGICB","Donegal Group Inc. Class B","Financials","US Equity","Common stocks","Small cap","$472,602,052","1,228","Analyze"
"HCI","HCI Group Inc","Financials","US Equity","Common stocks","Small cap","$458,299,300","142,994","Analyze"
"GBLI","Global Indemnity Ltd","Financials","US Equity","Common stocks","Micro cap","$275,203,274","4,606","Analyze"
"NODK","Ni Holdings Inc","Financials","US Equity","Common stocks","Micro cap","$273,069,027","11,067","Analyze"
"HALL","Hallmark Financial Services Inc","Financials","US Equity","Common stocks","Micro cap","$153,116,218","25,335","Analyze"
"MILE","Metromile, Inc.","Financials","US Equity","Common stocks","Micro cap","$133,028,400","1,011,561","Analyze"
"UIHC","United Insurance Holdings Corp","Financials","US Equity","Common stocks","Micro cap","$108,703,308","287,977","Analyze"
"HRTG","Heritage Insurance Holdings Inc","Financials","US Equity","Common stocks","Micro cap","$76,165,078","296,259","Analyze"
"NSEC","National Security Group Inc","Financials","US Equity","Common stocks","Micro cap","$41,104,584","1,539","Analyze"
"ROOT","Root, Inc.","Financials","US Equity","Common stocks","Micro cap","$38,180,000","141,040","Analyze"
"CNFR","Conifer Holdings Inc","Financials","US Equity","Common stocks","Micro cap","$18,935,302","1,757","Analyze"
"KINS","Kingstone Companies Inc","Financials","US Equity","Common stocks","Micro cap","$13,520,007","10,545","Analyze"
"FNHC","Federated National Holding","Financials","US Equity","Common stocks","Micro cap","$6,727,373","17,312","Analyze"
"UNAM","Unico American Corp","Financials","US Equity","Common stocks","Micro cap","$6,153,641","104,856","Analyze"
